customer_id,tenure_months,monthly_charges,total_charges,login_freq_per_week,feature_usage_score,payment_failures,support_calls,contract_type,payment_method,churned
C00000,34,92.48,2538.56,15.19,17.48,0,0,Month-to-month,Credit card,0
C00001,37,74.12,2748.03,1.03,19.18,0,0,Two year,Mailed check,0
C00002,54,47.69,2770.28,1.6,53.7,0,1,Month-to-month,Credit card,0
C00003,68,36.07,2570.61,2.51,45.1,0,1,One year,Electronic check,0
C00004,3,116.99,374.01,2.39,95.73,0,0,Month-to-month,Electronic check,1
C00005,11,71.61,786.22,2.9,95.42,0,1,Month-to-month,Electronic check,0
C00006,59,31.59,1628.35,2.57,79.65,1,2,One year,Mailed check,0
C00007,68,82.35,5770.9,3.35,67.16,1,0,Two year,Bank transfer,0
C00008,18,97.67,1518.09,1.23,84.5,1,1,Month-to-month,Mailed check,1
C00009,23,81.3,1962.24,3.2,93.88,0,2,Month-to-month,Electronic check,1
C00010,62,111.73,5672.15,4.84,2.26,0,1,One year,Credit card,0
C00011,31,23.96,778.15,2.78,11.81,1,4,Month-to-month,Mailed check,0
C00012,20,72.86,1237.68,4.12,36.03,1,1,Month-to-month,Credit card,0
C00013,59,65.93,3549.68,5.98,9.36,1,1,Two year,Mailed check,1
C00014,19,26.23,446.05,1.28,59.95,0,1,Month-to-month,Bank transfer,0
C00015,30,84.13,2542.58,12.45,26.04,0,1,One year,Bank transfer,0
C00016,46,105.26,4132.96,2.42,26.43,0,1,Two year,Bank transfer,0
C00017,40,79.29,2914.31,1.13,28.83,0,3,One year,Mailed check,0
C00018,7,46.01,258.22,0.3,9.77,0,3,One year,Bank transfer,0
C00019,2,103.99,182.76,6.24,74.09,0,1,One year,Electronic check,0
C00020,62,70.95,4074.95,1.96,65.07,0,1,Two year,Mailed check,0
C00021,54,71.09,3193.07,5.49,60.65,1,0,Month-to-month,Mailed check,0
C00022,60,95.3,5660.52,11.46,3.4,1,2,One year,Credit card,0
C00023,39,34.79,1240.3,2.03,42.95,0,2,Two year,Mailed check,0
C00024,59,101.96,6121.44,3.15,68.52,0,2,Two year,Electronic check,1
C00025,24,88.33,2111.78,3.26,15.63,0,0,Two year,Bank transfer,0
C00026,33,98.71,3027.35,2.06,38.57,0,3,Two year,Mailed check,0
C00027,56,39.16,2324.97,5.27,1.98,0,1,Month-to-month,Mailed check,0
C00028,9,100.24,892.81,4.78,8.19,1,1,Month-to-month,Credit card,1
C00029,22,39.13,897.95,3.45,21.65,0,1,Month-to-month,Bank transfer,0
C00030,9,28.16,228.74,1.17,41.47,0,1,Two year,Mailed check,0
C00031,33,105.52,3353.67,3.56,46.32,0,1,Month-to-month,Bank transfer,1
C00032,70,106.13,6380.77,3.79,88.45,0,0,Month-to-month,Credit card,0
C00033,10,107.65,1182.9,7.61,31.67,0,0,Month-to-month,Credit card,1
C00034,28,67.19,1642.33,0.09,2.15,1,3,Month-to-month,Credit card,1
C00035,29,47.4,1205.61,0.66,82.62,0,1,One year,Bank transfer,0
C00036,65,20.71,1106.48,3.79,6.18,0,1,Month-to-month,Bank transfer,0
C00037,15,84.57,1112.95,1.27,9.3,0,1,Month-to-month,Mailed check,1
C00038,36,91.99,3407.47,11.74,96.32,0,0,Month-to-month,Electronic check,0
C00039,19,103.56,1986.07,4.39,75.34,0,1,Month-to-month,Mailed check,1
C00040,2,48.19,80.82,3.27,33.79,0,0,Month-to-month,Mailed check,1
C00041,54,41.52,2046.73,10.85,13.22,0,0,Two year,Mailed check,0
C00042,5,83.93,388.71,2.63,38.67,0,1,Month-to-month,Electronic check,1
C00043,20,100.51,2009.19,1.93,33.92,1,2,One year,Credit card,1
C00044,36,116.37,3924.47,2.08,87.44,0,1,One year,Electronic check,1
C00045,35,35.05,1197.25,1.13,41.88,1,0,Two year,Electronic check,0
C00046,9,68.22,645.85,2.83,8.2,0,1,Two year,Mailed check,0
C00047,70,109.47,7800.39,3.48,92.68,1,2,Month-to-month,Mailed check,1
C00048,54,62.27,3058.27,5.68,62.23,0,2,One year,Electronic check,0
C00049,69,78.95,5090.84,2.99,11.67,0,2,One year,Bank transfer,0
